content,user,replyCount,retweetCount,likeCount,quoteCount,lang,hashtags
"We at Nashik Chicken only provide and promote the chicken that is healthy for you.
#food #chicken #nashikfood #nashikchicken https://t.co/qtozHRCWF7","{'username': 'nashikchicken', 'id': 1288355206569160706, 'displayname': 'Nashik Chicken Center™', 'description': 'Most Trusted Chicken Brand in Nashik serving the Best Chicken which Nashik Love ❤\nFarm Fresh. Tender. Hygienic.', 'rawDescription': 'Most Trusted Chicken Brand in Nashik serving the Best Chicken which Nashik Love ❤\nFarm Fresh. Tender. Hygienic.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 7, 29, 6, 6, 45, tzinfo=datetime.timezone.utc), 'followersCount': 26, 'friendsCount': 0, 'statusesCount': 378, 'favouritesCount': 12, 'listedCount': 0, 'mediaCount': 334, 'location': 'https://goo.gl/maps/ia9LTZRTR2', 'protected': False, 'linkUrl': 'https://linktr.ee/nashikchicken', 'linkTcourl': 'https://t.co/U6CtvahSCU', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1301900988173877248/_okiziyS_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1288355206569160706/1611076737', 'label': None}",0,0,0,0,en,"['food', 'chicken', 'nashikfood', 'nashikchicken']"
"Chocolate quinoa breakfast bowl

https://t.co/FoXIde56BX

#foodlover #delicious #foodies #SuperFoods #foodtrends #GoodEats #recipe #homemade #Cooking  #different_recipes #bonappetit #appetit #tastefood #food #goodeat #dinner #healthyfood #healthyeating #vegetarian #diet https://t.co/7vwIJBvHiT","{'username': 'WNutrion', 'id': 1549741977725460480, 'displayname': 'well nutrion', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2022, 7, 20, 13, 4, 23, tzinfo=datetime.timezone.utc), 'followersCount': 2304, 'friendsCount': 2231, 'statusesCount': 1844, 'favouritesCount': 1489, 'listedCount': 0, 'mediaCount': 616, 'location': 'Idaho/USA', 'protected': False, 'linkUrl': 'http://wellnutritionrecipes.blogspot.com', 'linkTcourl': 'https://t.co/Dix360x39K', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1549742639507034113/kDHEVpa9_normal.jpg', 'profileBannerUrl': None, 'label': None}",0,0,0,0,en,"['foodlover', 'delicious', 'foodies', 'SuperFoods', 'foodtrends', 'GoodEats', 'recipe', 'homemade', 'Cooking', 'different_recipes', 'bonappetit', 'appetit', 'tastefood', 'food', 'goodeat', 'dinner', 'healthyfood', 'healthyeating', 'vegetarian', 'diet']"
"#Foodservice is defined as the value of all #food and #drink, including on-trade drinks not drunk with food, for immediate consumption on the premises or in designated eating areas shared with other foodservice operators. https://t.co/SuZjt4RjRq https://t.co/UP7LbloFKH","{'username': 'researchbook', 'id': 343861732, 'displayname': 'Bharat Book Bureau', 'description': 'Bharat Book is a leading #MarketResearch information aggregator #MarketResearchReport, #CompanyProfiles and #CountryReports', 'rawDescription': 'Bharat Book is a leading #MarketResearch information aggregator #MarketResearchReport, #CompanyProfiles and #CountryReports', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 7, 28, 5, 51, 46, tzinfo=datetime.timezone.utc), 'followersCount': 2067, 'friendsCount': 4393, 'statusesCount': 11024, 'favouritesCount': 3028, 'listedCount': 91, 'mediaCount': 3927, 'location': 'India', 'protected': False, 'linkUrl': 'http://www.bharatbook.com/', 'linkTcourl': 'http://t.co/4BOKx8obui', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/2989870983/33961423fab74864cd4eec35ae3ff236_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/343861732/1570091755', 'label': None}",0,0,0,0,en,"['Foodservice', 'food', 'drink']"
"妹が考案したコストコのパンで揚げパン作った✌🏻
みんなも試してみて😚

#コストコ   #コストコのパン #food https://t.co/5RapcWEwLH","{'username': 'hibi_tubu_', 'id': 1514864671073136643, 'displayname': '杏仁', 'description': '日常 古着 食 音楽 オタ活𓂃𓈒𓏸︎︎︎︎', 'rawDescription': '日常 古着 食 音楽 オタ活𓂃𓈒𓏸︎︎︎︎', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2022, 4, 15, 7, 14, 27, tzinfo=datetime.timezone.utc), 'followersCount': 2, 'friendsCount': 31, 'statusesCount': 54, 'favouritesCount': 379, 'listedCount': 0, 'mediaCount': 6, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1563760415771095040/pJ8k9u3w_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1514864671073136643/1661664522', 'label': None}",0,0,0,0,ja,"['コストコ', 'コストコのパン', 'food']"
"मुंबईत वेफर्स पाव हा एक भन्नाट पदार्थ मिळतो. याची लोकप्रियता वडापावलाही टक्कर देणारी आहे.
#Food #Mumbai #Local18 #News18Lokmat #MarathiNews 

https://t.co/cXpLTS7RYP","{'username': 'News18lokmat', 'id': 190284083, 'displayname': 'News18Lokmat', 'description': 'This is an Official Twitter handle of @News18Lokmat | आमची पोहोच, तुमची ताकद', 'rawDescription': 'This is an Official Twitter handle of @News18Lokmat | आमची पोहोच, तुमची ताकद', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2010, 9, 13, 15, 21, 15, tzinfo=datetime.timezone.utc), 'followersCount': 460497, 'friendsCount': 160, 'statusesCount': 197196, 'favouritesCount': 186, 'listedCount': 366, 'mediaCount': 47753, 'location': 'Mumbai', 'protected': False, 'linkUrl': 'http://www.news18lokmat.com', 'linkTcourl': 'https://t.co/6AUFMjNlGq', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/974894746803032064/1Ld2kaKL_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/190284083/1660555477', 'label': None}",0,0,0,0,mr,"['Food', 'Mumbai', 'Local18', 'News18Lokmat', 'MarathiNews']"
"#RecipeOfTheDay
#Food 😋
""Orecchiette Pasta with Roasted Butternut Squash, Kale, and Caramelized..."" recipe on▪️Food52 https://t.co/qPIiLYSzMC
LIKE ▪️ SHARE ▪️ COMMENT","{'username': 'personalfitnes3', 'id': 1476742116, 'displayname': 'PersonalFitness3🏋🏻\u200d♀️', 'description': 'glnk.io/63qn/personalf…\n                        ⚫🟠 BULK SUPPLEMENTS 🟠⚫  GRIN - Influencer Marketing Software\ngrin.grsm.io/wag4bktblwgj🌎', 'rawDescription': 'https://t.co/6sIzCUg1tw\n                        ⚫🟠 BULK SUPPLEMENTS 🟠⚫  GRIN - Influencer Marketing Software\nhttps://t.co/Jx9570UO9p🌎', 'descriptionUrls': [{'text': 'glnk.io/63qn/personalf…', 'url': 'https://glnk.io/63qn/personalfitness3', 'tcourl': 'https://t.co/6sIzCUg1tw', 'indices': (0, 23)}, {'text': 'grin.grsm.io/wag4bktblwgj', 'url': 'https://grin.grsm.io/wag4bktblwgj', 'tcourl': 'https://t.co/Jx9570UO9p', 'indices': (109, 132)}], 'verified': False, 'created': datetime.datetime(2013, 6, 2, 8, 27, 2, tzinfo=datetime.timezone.utc), 'followersCount': 7087, 'friendsCount': 4574, 'statusesCount': 991213, 'favouritesCount': 60485, 'listedCount': 207, 'mediaCount': 567174, 'location': 'Get MOTIVATED/Stay CONSISTENT', 'protected': False, 'linkUrl': 'https://allmylinks.com/PersonalFitness3', 'linkTcourl': 'https://t.co/IHMYVZQm0u', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/680449345280434176/K44nJYjL_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1476742116/1431398769', 'label': None}",0,0,0,0,en,"['RecipeOfTheDay', 'Food']"
"#Lunch : 

** Pappu tomato
** Kodiguddu Vankaya endu royyalu
** Charu
** Perugu

#food #village https://t.co/gQKo7IbcPB","{'username': 'sandeep5sunny', 'id': 833418242, 'displayname': 'Sunny Boy 👦', 'description': 'I apologize in advance! Amma Nanna Chiru Sachin! No for negativity | Yes for Sarcasm! #foodie #politics #movies #sports', 'rawDescription': 'I apologize in advance! Amma Nanna Chiru Sachin! No for negativity | Yes for Sarcasm! #foodie #politics #movies #sports', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2012, 9, 19, 14, 12, 41, tzinfo=datetime.timezone.utc), 'followersCount': 659, 'friendsCount': 218, 'statusesCount': 28469, 'favouritesCount': 33214, 'listedCount': 0, 'mediaCount': 6122, 'location': 'Pune, India', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1561359677686181888/j7Z6yCT2_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/833418242/1646629894', 'label': None}",0,0,1,0,et,"['Lunch', 'food', 'village']"
"Merry Christmas 🎅 
#Christmas #cupcakes #food #photography #foodpanda1111 https://t.co/fwKEackSV1","{'username': 'Cuinofood', 'id': 1582341409054547968, 'displayname': 'Cuino Food', 'description': '🔰 Discover & Share the Joy of Home Cooking 🔰\nFollow Me 👉 @cuino_food 👉@asiridasun2\n Click Here for Get Recipes 👇', 'rawDescription': '🔰 Discover & Share the Joy of Home Cooking 🔰\nFollow Me 👉 @cuino_food 👉@asiridasun2\n Click Here for Get Recipes 👇', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2022, 10, 18, 12, 2, 58, tzinfo=datetime.timezone.utc), 'followersCount': 4, 'friendsCount': 16, 'statusesCount': 25, 'favouritesCount': 61, 'listedCount': 0, 'mediaCount': 16, 'location': 'New York, USA', 'protected': False, 'linkUrl': 'https://www.cuinofood.com', 'linkTcourl': 'https://t.co/lTBmYFzx2Y', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1584759322932056064/z-BTVM3t_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1582341409054547968/1667628185', 'label': None}",0,0,1,0,et,"['Christmas', 'cupcakes', 'food', 'photography', 'foodpanda1111']"
Taiya(鯛や) has cute rice bowl !! https://t.co/B4gE9hRDio #rice #food #japan #japanesefood #vine #cute #cooljapan,"{'username': 'TravelJPN', 'id': 2355880778, 'displayname': 'Travel Japan', 'description': 'We will introduce about JAPAN.Travel Japan Guide is for people who wanna enjoy travel in Japan much more!', 'rawDescription': 'We will introduce about http://t.co/Q3lTSBvBCD Japan Guide is for people who wanna enjoy travel in Japan much more!', 'descriptionUrls': [{'text': 'JAPAN.Travel', 'url': 'http://JAPAN.Travel', 'tcourl': 'http://t.co/Q3lTSBvBCD', 'indices': (24, 46)}], 'verified': False, 'created': datetime.datetime(2014, 2, 22, 6, 10, 9, tzinfo=datetime.timezone.utc), 'followersCount': 434, 'friendsCount': 10, 'statusesCount': 82468, 'favouritesCount': 56, 'listedCount': 153, 'mediaCount': 13, 'location': '', 'protected': False, 'linkUrl': 'http://traveljapan.in', 'linkTcourl': 'http://t.co/7JBnHvsb2Y', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/437112419014283264/P0MprQlh_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2355880778/1418396976', 'label': None}",0,0,0,0,en,"['rice', 'food', 'japan', 'japanesefood', 'vine', 'cute', 'cooljapan']"
Gratin de diots et crozets - https://t.co/UP6G08sP4t #recette #recettes #recettecuisine #recettescuisine #recettefacile #food https://t.co/zrA5IbnYtO,"{'username': 'RecetteCuisine9', 'id': 1403695266654457856, 'displayname': 'Recette Cuisine', 'description': 'Retrouvez des recettes de cuisine facile et rapide à faire.', 'rawDescription': 'Retrouvez des recettes de cuisine facile et rapide à faire.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 6, 12, 12, 46, 53, tzinfo=datetime.timezone.utc), 'followersCount': 23, 'friendsCount': 0, 'statusesCount': 1992, 'favouritesCount': 0, 'listedCount': 1, 'mediaCount': 1308, 'location': '', 'protected': False, 'linkUrl': 'https://recette-cuisine.net', 'linkTcourl': 'https://t.co/d1dHQGta5X', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1403695520665722889/DfQZ0pYf_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1403695266654457856/1623502178', 'label': None}",0,0,0,0,nl,"['recette', 'recettes', 'recettecuisine', 'recettescuisine', 'recettefacile', 'food']"
